type,deck,front,back,text,image,tags
basic,ODS Galley Procedures,Coffee/salad bar (if authorized): retrieve when?,After the 15-minute warning (or at 15-minute warning per class team),,,galley-lines
basic,ODS Galley Procedures,Section Leader seat location at the table?,"Forward-most, inboard to the active scullery",,,galley-seating
basic,ODS Galley Procedures,"Section Leader: ""Put it away table one"" — table response?",Aye-aye Sir/Ma'am,,,galley-seating
basic,ODS Galley Procedures,"At preparatory command ""Take"" (before Seats), where is the right hand?","On the back of the chair (overhand grip), in unison",,,galley-seating
cloze,ODS Galley Procedures,,,"At execution ""Seats,"" the table recites: ""{{c1::TO LEAD IS TO SERVE}} / {{c2::ALWAYS WATCHED ALWAYS JUDGED}} / {{c3::YOUR COMPANY MANTRA}}""",,galley-seating
basic,ODS Galley Procedures,Seated at attention: heel angle?,45 degrees,,,galley-seating
basic,ODS Galley Procedures,Seated at attention: hand position?,"Knife hands flat on each lap, not beyond the knees",,,galley-seating
basic,ODS Galley Procedures,From which side do students move into seats?,Port side,,,galley-seating
basic,ODS Galley Procedures,15-minute warning: what may students begin?,Eating (thousand-yard stare; elbows off table; chew with mouth closed),,,galley-meal
basic,ODS Galley Procedures,10- or 5-minute warnings: company reply if no food in mouth?,Aye-aye Sir/Ma'am,,,galley-meal
basic,ODS Galley Procedures,Done eating early before warnings end — position?,"POA, thousand-yard stare, feet 45°, knife hands on upper thighs",,,galley-meal
basic,ODS Galley Procedures,Immediate warning: does the table respond verbally?,No — pause; no one gets up to retrieve anything,,,galley-meal
basic,ODS Galley Procedures,"After immediate warning, cups go where?",On the tray (all eating/drinking/chewing finished),,,galley-meal
basic,ODS Galley Procedures,"""Take … feet"" — list three actions before facing inboard.","Stand, push chairs in, don outer wear and glow belts, pick up trays, wipe table area",,,galley-exit
basic,ODS Galley Procedures,Trash vs trays on exit: where does each go?,Trash (non-food) in trash cans; trays in the scullery,,,galley-exit
basic,ODS Galley Procedures,Exit route after scullery?,Up the center passageway as directed by the Class Chief,,,galley-exit
basic,ODS Galley Procedures,Column of files to exit: which side is chosen?,Left or right — whichever is closest to the active scullery,,,galley-exit
basic,ODS Galley Procedures,"Company fails commands (not in unison / no motivation) — who may call ""As you were""?",Any student (especially the Section Leader),,,galley-corrections
basic,ODS Galley Procedures,Tray arrangement reference?,Tray diagrams on page F-4 of the knowledge book,,,galley-corrections
basic,ODS Galley Procedures,"Galley entering: after Mess Treasurer returns and centers, next Drill Officer command?","Mess Treasurer, Report",,,galley-sequence
basic,ODS Galley Procedures,"Galley entering: after crush starboard, next step involving Mess Treasurer?","Mess Treasurer, Report (after MT centers on company)",,,galley-sequence
basic,ODS Galley Procedures,"After ""Put it away,"" next Section Leader command sequence?",Take … (pause) … Seats,,,galley-sequence
basic,ODS Galley Procedures,"After immediate warning, next Section Leader command?",Take … (pause) … feet,,,galley-sequence
