type,deck,front,back,text,tags
basic,ODS Knowledge,Chain of Command — position #5 (title)?,"Director, ODS",,chain-of-command
basic,ODS Knowledge,Chain of Command — position #6 (title)?,"Command Master Chief, Officer Training Command, Newport",,chain-of-command
basic,ODS Knowledge,Chain of Command — position #7 (title)?,"Executive Officer, Officer Training Command Newport",,chain-of-command
basic,ODS Knowledge,Chain of Command — position #8 (title)?,"Commanding Officer, Officer Training Command Newport",,chain-of-command
basic,ODS Knowledge,Chain of Command — position #9 (title)?,"Commander, Naval Service Training Command",,chain-of-command
basic,ODS Knowledge,Chain of Command — position #10 (title)?,"Commander, Naval Education and Training Command",,chain-of-command
basic,ODS Knowledge,Chain of Command — position #11 (title)?,Chief of Naval Personnel,,chain-of-command
basic,ODS Knowledge,Chain of Command — position #12 (title)?,Chief of Naval Operations,,chain-of-command
basic,ODS Knowledge,Chain of Command — position #13 (title)?,Secretary of the Navy,,chain-of-command
basic,ODS Knowledge,Chain of Command — position #14 (title)?,Secretary of Defense,,chain-of-command
basic,ODS Knowledge,Chain of Command — position #15 (title)?,President of the United States,,chain-of-command
basic,ODS Knowledge,Recite the Oath of Office.,"I, (name), do solemnly swear (or affirm) that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter. So help me God.",,oath
basic,ODS Knowledge,Recite the Sailor's Creed.,"I am a United States Sailor. I will support and defend the Constitution of the United States of America and I will obey the orders of those appointed over me. I represent the fighting spirit of the Navy and those who have gone before me to defend freedom and democracy around the world. I proudly serve my country's Navy combat team with honor, courage and commitment. I am committed to excellence and the fair treatment of all.",,sailors-creed
basic,ODS Knowledge,Phonetic alphabet — A?,Alpha,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — B?,Bravo,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — C?,Charlie,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — D?,Delta,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — E?,Echo,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — F?,Foxtrot,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — G?,Golf,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — H?,Hotel,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — I?,India,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — J?,Juliet,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — K?,Kilo,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — L?,Lima,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — M?,Mike,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — N?,November,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — O?,Oscar,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — P?,Papa,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — Q?,Quebec,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — R?,Romeo,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — S?,Sierra,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — T?,Tango,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — U?,Uniform,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — V?,Victor,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — W?,Whiskey,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — X?,X-Ray,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — Y?,Yankee,,phonetic-alphabet
basic,ODS Knowledge,Phonetic alphabet — Z?,Zulu,,phonetic-alphabet
basic,ODS Knowledge,How many General Orders of a Sentry are there?,11,,general-orders
basic,ODS Knowledge,General Order #1?,Take charge of this post and all government property in view.,,general-orders
basic,ODS Knowledge,General Order #2?,"Walk my post in a military manner, keeping always on the alert and observing everything that takes place within sight or hearing.",,general-orders
basic,ODS Knowledge,General Order #3?,Report all violations of orders I am instructed to enforce.,,general-orders
basic,ODS Knowledge,General Order #4?,Repeat all calls from any post more distant from the guard house than my own.,,general-orders
basic,ODS Knowledge,General Order #5?,Quit my post only when properly relieved.,,general-orders
basic,ODS Knowledge,General Order #6?,"Receive, obey, and pass on to the sentry who relieves me all orders from the commanding officer, command duty officer, officer of the deck, and officers and petty officers of the watch only.",,general-orders
basic,ODS Knowledge,General Order #7?,Talk to no one except in the line of duty.,,general-orders
basic,ODS Knowledge,General Order #8?,Give the alarm in case of fire or disorder.,,general-orders
basic,ODS Knowledge,General Order #9?,Call the OOD in any case not covered by instructions.,,general-orders
basic,ODS Knowledge,General Order #10?,Salute all Officers and all colors and standards not cased.,,general-orders
basic,ODS Knowledge,General Order #11?,"Be especially watchful at night, and during the time for challenging, challenge all persons on or near my post, and allow no one to pass without proper authority.",,general-orders
basic,ODS Knowledge,Navy officer rank — W-2?,Chief Warrant Officer Two (CWO2),,ranks-navy-officer
basic,ODS Knowledge,Navy officer rank — W-3?,Chief Warrant Officer Three (CWO3),,ranks-navy-officer
basic,ODS Knowledge,Navy officer rank — W-4?,Chief Warrant Officer Four (CWO4),,ranks-navy-officer
basic,ODS Knowledge,Navy officer rank — W-5?,Chief Warrant Officer Five (CWO5),,ranks-navy-officer
basic,ODS Knowledge,Navy officer rank — O-1?,Ensign (ENS),,ranks-navy-officer
basic,ODS Knowledge,Navy officer rank — O-2?,Lieutenant Junior Grade (LTJG),,ranks-navy-officer
basic,ODS Knowledge,Navy officer rank — O-3?,Lieutenant (LT),,ranks-navy-officer
basic,ODS Knowledge,Navy officer rank — O-4?,Lieutenant Commander (LCDR),,ranks-navy-officer
basic,ODS Knowledge,Navy officer rank — O-5?,Commander (CDR),,ranks-navy-officer
basic,ODS Knowledge,Navy officer rank — O-6?,Captain (CAPT),,ranks-navy-officer
basic,ODS Knowledge,Navy officer rank — O-7?,Rear Admiral Lower Half (RDML),,ranks-navy-officer
basic,ODS Knowledge,Navy officer rank — O-8?,Rear Admiral (RADM),,ranks-navy-officer
basic,ODS Knowledge,Navy officer rank — O-9?,Vice Admiral (VADM),,ranks-navy-officer
basic,ODS Knowledge,Navy officer rank — O-10?,Admiral (ADM),,ranks-navy-officer
basic,ODS Knowledge,Navy officer rank — O-11?,Fleet Admiral (FADM),,ranks-navy-officer
basic,ODS Knowledge,Navy enlisted rank — E-1?,Seaman Recruit (SR),,ranks-navy-enlisted
basic,ODS Knowledge,Navy enlisted rank — E-2?,Seaman Apprentice (SA),,ranks-navy-enlisted
basic,ODS Knowledge,Navy enlisted rank — E-3?,Seaman (SN),,ranks-navy-enlisted
basic,ODS Knowledge,Navy enlisted rank — E-4?,Petty Officer Third Class (PO3),,ranks-navy-enlisted
basic,ODS Knowledge,Navy enlisted rank — E-5?,Petty Officer Second Class (PO2),,ranks-navy-enlisted
basic,ODS Knowledge,Navy enlisted rank — E-6?,Petty Officer First Class (PO1),,ranks-navy-enlisted
basic,ODS Knowledge,Navy enlisted rank — E-7?,Chief Petty Officer (CPO),,ranks-navy-enlisted
basic,ODS Knowledge,Navy enlisted rank — E-8?,Senior Chief Petty Officer (SCPO),,ranks-navy-enlisted
basic,ODS Knowledge,Navy enlisted rank — E-9?,Master Chief Petty Officer (MCPO),,ranks-navy-enlisted
basic,ODS Knowledge,Navy enlisted rank — E-9 (top)?,Master Chief Petty Officer of the Navy (MCPON),,ranks-navy-enlisted
basic,ODS Knowledge,Line and Restricted Line officer device?,A gold embroidered five-pointed star,,corps-devices
basic,ODS Knowledge,Supply Corps officer device?,A gold embroidered sprig of three oak leaves and three acorns,,corps-devices
basic,ODS Knowledge,Civil Engineer Corps officer device?,Two gold embroidered sprigs of two oak leaves and a silver acorn in each sprig,,corps-devices
basic,ODS Knowledge,Recite verse 1 of Anchors Aweigh.,"Stand, Navy, out to sea, Fight our battle cry; We'll never change our course, So vicious foe steer shy. Roll out the TNT, Anchors Aweigh. Sail on to victory And sink their bones to Davy Jones, hooray!",,anchors-aweigh
basic,ODS Knowledge,Recite verse 2 of Anchors Aweigh.,"Anchors Aweigh, my boys, Anchors Aweigh. Farewell to foreign shores, we sail at break of day. Through our last night ashore, drink to the foam, Until we meet once more. Here's wishing you a happy voyage home.",,anchors-aweigh
basic,ODS Knowledge,Recite verse 3 of Anchors Aweigh.,"Blue of the Mighty Deep; Gold of God's great sun. Let these our colors be till all of time be done. On Seven Seas we learn Navy's stern call: Faith, courage, service true with honor over, honor over all.",,anchors-aweigh
basic,Marine Knowledge,Marine officer rank — W-1?,Warrant Officer (WO),,ranks-marine-officer
basic,Marine Knowledge,Marine officer rank — W-2?,Chief Warrant Officer Two (CWO2),,ranks-marine-officer
basic,Marine Knowledge,Marine officer rank — W-3?,Chief Warrant Officer Three (CWO3),,ranks-marine-officer
basic,Marine Knowledge,Marine officer rank — W-4?,Chief Warrant Officer Four (CWO4),,ranks-marine-officer
basic,Marine Knowledge,Marine officer rank — W-5?,Chief Warrant Officer Five (CWO5),,ranks-marine-officer
basic,Marine Knowledge,Marine officer rank — O-1?,Second Lieutenant (2ndLt),,ranks-marine-officer
basic,Marine Knowledge,Marine officer rank — O-2?,First Lieutenant (1stLt),,ranks-marine-officer
basic,Marine Knowledge,Marine officer rank — O-3?,Captain (Capt),,ranks-marine-officer
basic,Marine Knowledge,Marine officer rank — O-4?,Major (Maj),,ranks-marine-officer
basic,Marine Knowledge,Marine officer rank — O-5?,Lieutenant Colonel (LtCol),,ranks-marine-officer
basic,Marine Knowledge,Marine officer rank — O-6?,Colonel (Col),,ranks-marine-officer
basic,Marine Knowledge,Marine officer rank — O-7?,Brigadier General (BGen),,ranks-marine-officer
basic,Marine Knowledge,Marine officer rank — O-8?,Major General (MajGen),,ranks-marine-officer
basic,Marine Knowledge,Marine officer rank — O-9?,Lieutenant General (LtGen),,ranks-marine-officer
basic,Marine Knowledge,Marine officer rank — O-10?,General (Gen),,ranks-marine-officer
basic,Marine Knowledge,Marine enlisted rank — E-1?,Private (Pvt),,ranks-marine-enlisted
basic,Marine Knowledge,Marine enlisted rank — E-2?,Private First Class (PFC),,ranks-marine-enlisted
basic,Marine Knowledge,Marine enlisted rank — E-3?,Lance Corporal (LCpl),,ranks-marine-enlisted
basic,Marine Knowledge,Marine enlisted rank — E-4?,Corporal (Cpl),,ranks-marine-enlisted
basic,Marine Knowledge,Marine enlisted rank — E-5?,Sergeant (Sgt),,ranks-marine-enlisted
basic,Marine Knowledge,Marine enlisted rank — E-6?,Staff Sergeant (SSgt),,ranks-marine-enlisted
basic,Marine Knowledge,Marine enlisted rank — E-7?,Gunnery Sergeant (GySgt),,ranks-marine-enlisted
basic,Marine Knowledge,Marine enlisted rank — E-8?,Master Sergeant (MSgt),,ranks-marine-enlisted
basic,Marine Knowledge,Marine enlisted rank — E-8 (alt)?,First Sergeant (1stSgt),,ranks-marine-enlisted
basic,Marine Knowledge,Marine enlisted rank — E-9?,Master Gunnery Sergeant (MGySgt),,ranks-marine-enlisted
basic,Marine Knowledge,Marine enlisted rank — E-9 (alt)?,Sergeant Major (SgtMaj),,ranks-marine-enlisted
basic,Marine Knowledge,Marine enlisted rank — E-9 (top)?,Sergeant Major of the Marine Corps (SMMC),,ranks-marine-enlisted
basic,Marine Knowledge,Recite verse 1 of the Marine Corps Hymn.,"From the Halls of Montezuma To the shores of Tripoli; We fight our country's battles In the air, on land, and sea; First to fight for right and freedom And to keep our honor clean; We are proud to claim the title Of United States Marine.",,marine-hymn
basic,Marine Knowledge,Recite verse 2 of the Marine Corps Hymn.,Our flag's unfurled to every breeze From dawn to setting sun; We have fought in ev'ry clime and place Where we could take a gun; In the snow of far-off Northern lands And in sunny tropic scenes; You will find us always on the job The United States Marines.,,marine-hymn
basic,Marine Knowledge,Recite verse 3 of the Marine Corps Hymn.,Here's health to you and to our Corps Which we are proud to serve; In many a strife we've fought for life And never lost our nerve; If the Army and the Navy Ever look on Heaven's scenes; They will find the streets are guarded By United States Marines.,,marine-hymn
